Position,"Track Name",Artist,Streams,URL
1,Havana,"Camila Cabello",4261303,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
2,rockstar,"Post Malone",3818601,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
3,"River (feat. Ed Sheeran)",Eminem,3199261,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
4,"Never Be the Same","Camila Cabello",3075568,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
5,Wolves,"Selena Gomez",2872339,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
6,"Finesse (Remix) [feat. Cardi B]","Bruno Mars",2871159,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
7,"Him & I (with Halsey)",G-Eazy,2655043,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
8,"New Rules","Dua Lipa",2633028,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
9,"Échame La Culpa","Luis Fonsi",2623868,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
10,"Let You Down",NF,2601692,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
11,Perfect,"Ed Sheeran",2471986,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
12,"All The Stars (with SZA)","Kendrick Lamar",2269397,https://open.spotify.com/track/12SJpYZEdj4kzWZ8FPFg4Y
13,IDGAF,"Dua Lipa",2258186,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
14,"What Lovers Do (feat. SZA)","Maroon 5",2239392,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
15,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",2159192,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
16,"I Fall Apart","Post Malone",2119870,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
17,"Shape of You","Ed Sheeran",2062376,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
18,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",2024373,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
19,"Too Good At Goodbyes","Sam Smith",1982967,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
20,Silence,Marshmello,1976166,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
21,"No Limit",G-Eazy,1931545,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW
22,"I Miss You (feat. Julia Michaels)","Clean Bandit",1873211,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
