Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",6393509,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,Passionfruit,Drake,4152810,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
3,"It Ain't Me (with Selena Gomez)",Kygo,3698107,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
4,"Something Just Like This","The Chainsmokers",3463206,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
5,"Galway Girl","Ed Sheeran",3196823,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
6,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",3088062,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
7,"That's What I Like","Bruno Mars",2953436,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
8,"Stay (with Alessia Cara)",Zedd,2943693,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
9,Paris,"The Chainsmokers",2562252,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
10,"Mask Off",Future,2534988,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
11,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2511816,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
12,"Castle on the Hill","Ed Sheeran",2390984,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
13,"Scared to Be Lonely","Martin Garrix",2333742,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
14,Slide,"Calvin Harris",2246568,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
15,Issues,"Julia Michaels",2222896,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
16,Portland,Drake,2137627,https://open.spotify.com/track/2bjwRfXMk4uRgOD9IBYl9h
17,"Symphony (feat. Zara Larsson)","Clean Bandit",2023966,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
18,"Chained To The Rhythm","Katy Perry",1982177,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
19,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",1972938,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
20,"I Feel It Coming","The Weeknd",1897784,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
21,"You Don't Know Me - Radio Edit","Jax Jones",1880771,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
22,Cold,"Maroon 5",1872178,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
23,Believer,"Imagine Dragons",1854945,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
24,Blem,Drake,1851224,https://open.spotify.com/track/2XlHu0HcujBCkWMdIAvrqt
25,"iSpy (feat. Lil Yachty)",KYLE,1809739,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
26,Perfect,"Ed Sheeran",1731391,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
27,"Say You Won't Let Go","James Arthur",1700488,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
28,"Fake Love",Drake,1674618,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
29,"Call On Me - Ryan Riback Extended Remix",Starley,1617988,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
30,Gyalchester,Drake,1612482,https://open.spotify.com/track/6UjfByV1lDLW0SOVQA4NAi
31,Happier,"Ed Sheeran",1587549,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
32,Closer,"The Chainsmokers",1565494,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
33,"Free Smoke",Drake,1515030,https://open.spotify.com/track/05KOgYg8PGeJyyWBPi5ja8
34,"How Far I'll Go - From ""Moana""","Alessia Cara",1493547,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
35,"Get It Together",Drake,1472385,https://open.spotify.com/track/7y6c07pgjZvtHI9kuMVqk1
36,"Green Light",Lorde,1467909,https://open.spotify.com/track/0gbBzIqrECJOEPvQJIBFs5
37,"SUBEME LA RADIO","Enrique Iglesias",1454473,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
38,"Solo Dance","Martin Jensen",1447517,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
39,Starboy,"The Weeknd",1441853,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
40,Chantaje,Shakira,1398247,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
41,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",1362176,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
42,Dive,"Ed Sheeran",1323763,https://open.spotify.com/track/51ChrwmUPDJvedPQnIU8Ls
43,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",1321010,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
44,"Teenage Fever",Drake,1320992,https://open.spotify.com/track/6n3HGiq4v35D6eFOSwqYuo
45,"El Amante","Nicky Jam",1280658,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
46,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,1263451,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
47,Congratulations,"Post Malone",1259106,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
48,"Madiba Riddim",Drake,1252194,https://open.spotify.com/track/76gUmNLXGQVOsGhfcshkFP
49,"The Heart Part 4","Kendrick Lamar",1244208,https://open.spotify.com/track/1zayuwd1YLZsYDArkruHdL
50,"No Long Talk",Drake,1200348,https://open.spotify.com/track/6CfrYuD3YRDYdYvH9jNtXY
51,"Tunnel Vision","Kodak Black",1172153,https://open.spotify.com/track/4Q3N4Ct4zCuIHuZ65E3BD4
52,Sacrifices,Drake,1167869,https://open.spotify.com/track/0xl1w2q4VLojeXp4JfazPL
53,Weak,AJR,1166158,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
54,Location,Khalid,1144712,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
55,"Me Rehúso","Danny Ocean",1141108,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
56,"New Man","Ed Sheeran",1137467,https://open.spotify.com/track/5HDPtsnyb3maFmPL8LLUTG
57,4422,Drake,1134641,https://open.spotify.com/track/2fkeWbM6iqTw7oGHTYm2lw
58,KMT,Drake,1134274,https://open.spotify.com/track/2jTujnt0y344ai1rNOywgr
59,Selfish,Future,1128428,https://open.spotify.com/track/2Ce5IyMlVRVvN997ZJjJJA
60,"All Night","The Vamps",1116004,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
