Position,"Track Name",Artist,Streams,URL
1,"Mi Gente","J Balvin",4888075,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
2,"Despacito - Remix","Luis Fonsi",4384688,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
3,"Wild Thoughts","DJ Khaled",3902458,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
4,Unforgettable,"French Montana",3639341,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
5,Feels,"Calvin Harris",3499197,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
6,"2U (feat. Justin Bieber)","David Guetta",3302637,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
7,"I'm the One","DJ Khaled",3146102,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
8,"Shape of You","Ed Sheeran",3006373,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
9,Attention,"Charlie Puth",2995671,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
10,"Strip That Down","Liam Payne",2807172,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
11,Thunder,"Imagine Dragons",2761451,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
12,Mama,"Jonas Blue",2650517,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
13,"Sorry Not Sorry","Demi Lovato",2483495,https://open.spotify.com/track/25C5CowdsfXld2jJanbiex
14,"More Than You Know","Axwell /\ Ingrosso",2429273,https://open.spotify.com/track/3PEgB3fkiojxms35ntsTgs
15,"There's Nothing Holdin' Me Back","Shawn Mendes",2383850,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
16,"XO TOUR Llif3","Lil Uzi Vert",2359869,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
17,"New Rules","Dua Lipa",2301032,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
18,"Fetish (feat. Gucci Mane)","Selena Gomez",2122358,https://open.spotify.com/track/0XLOf9LhyazPX9Ld8jPiUq
19,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",2037891,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
20,HUMBLE.,"Kendrick Lamar",2035338,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
21,"Felices los 4",Maluma,1997433,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
22,"Me Rehúso","Danny Ocean",1993242,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
23,"There for You","Martin Garrix",1980870,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
24,"Something Just Like This","The Chainsmokers",1978524,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
25,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",1976040,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6
26,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",1904484,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
27,Believer,"Imagine Dragons",1868511,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
28,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)","Major Lazer",1824984,https://open.spotify.com/track/3Ytr1SUCUi6J3L9dRFx5iH
29,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",1821263,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
30,"Glorious (feat. Skylar Grey)",Macklemore,1801197,https://open.spotify.com/track/3HVr6jTVwBHBa2flM0eURR
31,"Your Song","Rita Ora",1796828,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5
32,Congratulations,"Post Malone",1786760,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
33,"Bank Account","21 Savage",1783944,https://open.spotify.com/track/5eqK0tbzUPo2SoeZsov04s
34,"Slow Hands","Niall Horan",1707655,https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh
35,"I Like Me Better",Lauv,1666971,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9
36,"Crying in the Club","Camila Cabello",1629631,https://open.spotify.com/track/1SJtlNRJDeYHioymcvsqev
37,"Symphony (feat. Zara Larsson)","Clean Bandit",1581715,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
38,"Escápate Conmigo",Wisin,1536022,https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6
39,"That's What I Like","Bruno Mars",1513516,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
40,"Bad Liar","Selena Gomez",1511892,https://open.spotify.com/track/1sCxVKWImDZSZKvG0U9B23
41,"Butterfly Effect","Travis Scott",1463254,https://open.spotify.com/track/1yxgsra98r3qAtxqiGZPiX
42,Slide,"Calvin Harris",1459353,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
43,"Una Lady Como Tú","Manuel Turizo",1458541,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF
