Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",7057075,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,Paris,"The Chainsmokers",3899861,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
3,"Castle on the Hill","Ed Sheeran",3518245,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
4,Starboy,"The Weeknd",3439943,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
5,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",3404081,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3299577,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
7,Closer,"The Chainsmokers",2900344,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
8,"I Feel It Coming","The Weeknd",2668560,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
9,"Say You Won't Let Go","James Arthur",2645060,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
10,"Don't Wanna Know","Maroon 5",2628862,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
11,"Fake Love",Drake,2610180,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
12,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,2468266,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
13,"Call On Me - Ryan Riback Extended Remix",Starley,2397251,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
14,"Let Me Love You","DJ Snake",2344845,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
15,Chantaje,Shakira,2333207,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
16,"24K Magic","Bruno Mars",2236138,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
17,"Just Hold On","Steve Aoki",2209076,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
18,"Bad Things (with Camila Cabello)","Machine Gun Kelly",2076934,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
19,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",1986490,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
20,"Black Beatles","Rae Sremmurd",1941034,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
21,"One Dance",Drake,1842847,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
22,"Side To Side","Ariana Grande",1808620,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
23,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",1754481,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
24,"How Far I'll Go - From ""Moana""","Alessia Cara",1727356,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
25,"In the Name of Love","Martin Garrix",1697026,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
26,"All Night","The Vamps",1686140,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
27,"Hear Me Now",Alok,1649359,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
28,Mercy,"Shawn Mendes",1647581,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
29,"Now and Later","Sage The Gemini",1593135,https://open.spotify.com/track/43jBqV3j3Xi1g6wO0bhIMd
30,"Shed a Light","Robin Schulz",1537087,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY
31,"My Way","Calvin Harris",1524265,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
32,"I Would Like","Zara Larsson",1514606,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6
33,"Solo Dance","Martin Jensen",1506576,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
34,"Reggaetón Lento (Bailemos)",CNCO,1463290,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
35,"Scars To Your Beautiful","Alessia Cara",1443366,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK
36,Starving,"Hailee Steinfeld",1432561,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
37,"Love Me Now","John Legend",1428865,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89
38,"All We Know","The Chainsmokers",1392012,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK
