Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",9603434,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"Castle on the Hill","Ed Sheeran",4622755,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
3,"It Ain't Me (with Selena Gomez)",Kygo,4346145,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
4,"Something Just Like This","The Chainsmokers",4199867,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
5,"Galway Girl","Ed Sheeran",3818718,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
6,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",3794182,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
7,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3709558,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
8,Paris,"The Chainsmokers",3544645,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
9,Perfect,"Ed Sheeran",3431702,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
10,Dive,"Ed Sheeran",3229491,https://open.spotify.com/track/51ChrwmUPDJvedPQnIU8Ls
11,Happier,"Ed Sheeran",3208787,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
12,"New Man","Ed Sheeran",3093877,https://open.spotify.com/track/5HDPtsnyb3maFmPL8LLUTG
13,"Scared to Be Lonely","Martin Garrix",3035679,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
14,"What Do I Know?","Ed Sheeran",2945879,https://open.spotify.com/track/2pJZ1v8HezrAoZ0Fhzby92
15,"Chained To The Rhythm","Katy Perry",2915476,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
16,"How Would You Feel (Paean)","Ed Sheeran",2843765,https://open.spotify.com/track/6PJ8FF6UR8FZXfEvpHkIVN
17,Eraser,"Ed Sheeran",2802276,https://open.spotify.com/track/7oolFzHipTMg2nL7shhdz2
18,"That's What I Like","Bruno Mars",2657609,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
19,Issues,"Julia Michaels",2577504,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
20,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",2546244,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
21,"Hearts Don't Break Around Here","Ed Sheeran",2545911,https://open.spotify.com/track/2dfHh7ECGxfNqZTQno09Vk
22,Barcelona,"Ed Sheeran",2516398,https://open.spotify.com/track/3Lfiu5sZ4M4B6JaKMBc0FU
