Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",6990435,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,Passionfruit,Drake,5355750,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
3,Portland,Drake,3986739,https://open.spotify.com/track/2bjwRfXMk4uRgOD9IBYl9h
4,"It Ain't Me (with Selena Gomez)",Kygo,3911503,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
5,"Free Smoke",Drake,3860281,https://open.spotify.com/track/05KOgYg8PGeJyyWBPi5ja8
6,"Something Just Like This","The Chainsmokers",3745702,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
7,"Galway Girl","Ed Sheeran",3648641,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
8,Blem,Drake,3477090,https://open.spotify.com/track/2XlHu0HcujBCkWMdIAvrqt
9,"No Long Talk",Drake,3379264,https://open.spotify.com/track/6CfrYuD3YRDYdYvH9jNtXY
10,Gyalchester,Drake,3328701,https://open.spotify.com/track/6UjfByV1lDLW0SOVQA4NAi
11,"Get It Together",Drake,3211125,https://open.spotify.com/track/7y6c07pgjZvtHI9kuMVqk1
12,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",3135748,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
13,"Madiba Riddim",Drake,2965315,https://open.spotify.com/track/76gUmNLXGQVOsGhfcshkFP
14,"Stay (with Alessia Cara)",Zedd,2963060,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
15,Sacrifices,Drake,2946837,https://open.spotify.com/track/0xl1w2q4VLojeXp4JfazPL
16,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2945830,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
17,KMT,Drake,2940699,https://open.spotify.com/track/2jTujnt0y344ai1rNOywgr
18,"That's What I Like","Bruno Mars",2926556,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
19,"Jorja Interlude",Drake,2911671,https://open.spotify.com/track/13e6f8t7RKXuxZ0JdaaJRG
20,4422,Drake,2829553,https://open.spotify.com/track/2fkeWbM6iqTw7oGHTYm2lw
21,Paris,"The Chainsmokers",2822835,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
22,"Teenage Fever",Drake,2820927,https://open.spotify.com/track/6n3HGiq4v35D6eFOSwqYuo
23,"Castle on the Hill","Ed Sheeran",2755146,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
24,"Fake Love",Drake,2586917,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
25,"Scared to Be Lonely","Martin Garrix",2498736,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
