Position,"Track Name",Artist,Streams,URL
1,HUMBLE.,"Kendrick Lamar",5654803,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
2,"Shape of You","Ed Sheeran",5387938,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
3,DNA.,"Kendrick Lamar",4130445,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
4,"Something Just Like This","The Chainsmokers",3744117,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
5,"It Ain't Me (with Selena Gomez)",Kygo,3429400,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
6,"Mask Off",Future,3200036,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
7,Passionfruit,Drake,3122175,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
8,"That's What I Like","Bruno Mars",3074620,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
9,"LOYALTY. FEAT. RIHANNA.","Kendrick Lamar",3054346,https://open.spotify.com/track/6SwRhMLwNqEi6alNPVG00n
10,"Stay (with Alessia Cara)",Zedd,3034359,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
11,ELEMENT.,"Kendrick Lamar",2974112,https://open.spotify.com/track/1EaKU4dMbesXXd3BrLCtYG
12,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",2824378,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
13,"Symphony (feat. Zara Larsson)","Clean Bandit",2767484,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
14,Paris,"The Chainsmokers",2572488,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
15,"LOVE. FEAT. ZACARI.","Kendrick Lamar",2497851,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
16,"Galway Girl","Ed Sheeran",2431383,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
17,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",2342917,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
18,"Despacito - Remix","Luis Fonsi",2333957,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
19,YAH.,"Kendrick Lamar",2267959,https://open.spotify.com/track/4BHSjbYylfOH5WAGusDyni
20,"XXX. FEAT. U2.","Kendrick Lamar",2252274,https://open.spotify.com/track/4iYRa2btalAzPZoSYfROqF
21,Issues,"Julia Michaels",2215257,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
22,FEEL.,"Kendrick Lamar",2199967,https://open.spotify.com/track/2LTlO3NuNVN70lp2ZbVswF
23,"Sign of the Times","Harry Styles",2197291,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN
24,Slide,"Calvin Harris",2174606,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
25,"Scared to Be Lonely","Martin Garrix",2164488,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
26,PRIDE.,"Kendrick Lamar",2116469,https://open.spotify.com/track/6IZvVAP7VPPnsGX6bvgkqg
27,LUST.,"Kendrick Lamar",1979893,https://open.spotify.com/track/06FCvd7rrRcF3DdvWH5Isp
28,"iSpy (feat. Lil Yachty)",KYLE,1837558,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
29,"XO TOUR Llif3","Lil Uzi Vert",1829968,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
30,"You Don't Know Me - Radio Edit","Jax Jones",1792143,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
31,Cold,"Maroon 5",1772606,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
32,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1771773,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
33,Believer,"Imagine Dragons",1766603,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
34,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",1764400,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
35,FEAR.,"Kendrick Lamar",1677500,https://open.spotify.com/track/23luOrEVHMfoX0AhfbQuS6
36,BLOOD.,"Kendrick Lamar",1648907,https://open.spotify.com/track/1n4jwRVXdkK2U34nBDUKKT
37,"The One","The Chainsmokers",1587140,https://open.spotify.com/track/0wfbD5rAksdXUzRvMfM3x5
38,"Call On Me - Ryan Riback Extended Remix",Starley,1578837,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
39,"Solo Dance","Martin Jensen",1562528,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
40,"Castle on the Hill","Ed Sheeran",1539184,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
41,"I Feel It Coming","The Weeknd",1534315,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
42,GOD.,"Kendrick Lamar",1530264,https://open.spotify.com/track/5p3NP9mQblDsVJLdfNZJ3I
