Position,"Track Name",Artist,Streams,URL
1,"Mi Gente","J Balvin",4553070,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
2,"Friends (with BloodPop®)","Justin Bieber",3633412,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
3,Unforgettable,"French Montana",3321975,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
4,"New Rules","Dua Lipa",3218287,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
5,Feels,"Calvin Harris",3144976,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
6,"Wild Thoughts","DJ Khaled",3134788,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
7,"Despacito - Remix","Luis Fonsi",3126182,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
8,Attention,"Charlie Puth",2712880,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
9,"2U (feat. Justin Bieber)","David Guetta",2646961,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
10,"Sorry Not Sorry","Demi Lovato",2636962,https://open.spotify.com/track/25C5CowdsfXld2jJanbiex
11,"Shape of You","Ed Sheeran",2602652,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
12,"Strip That Down","Liam Payne",2486414,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
13,Thunder,"Imagine Dragons",2471995,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
14,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",2366041,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6
15,"More Than You Know","Axwell /\ Ingrosso",2359512,https://open.spotify.com/track/3PEgB3fkiojxms35ntsTgs
16,Mama,"Jonas Blue",2312937,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
17,"I'm the One","DJ Khaled",2285992,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
18,"XO TOUR Llif3","Lil Uzi Vert",2182142,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
19,Havana,"Camila Cabello",2176076,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
20,"Glorious (feat. Skylar Grey)",Macklemore,2106618,https://open.spotify.com/track/3HVr6jTVwBHBa2flM0eURR
21,"There's Nothing Holdin' Me Back","Shawn Mendes",2056315,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
22,"Without You (feat. Sandro Cavazza)",Avicii,2023784,https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE
23,Silence,Marshmello,2003514,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
24,"Me Rehúso","Danny Ocean",1925211,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
25,"Bank Account","21 Savage",1910103,https://open.spotify.com/track/5eqK0tbzUPo2SoeZsov04s
26,HUMBLE.,"Kendrick Lamar",1815461,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
27,"I Like Me Better",Lauv,1786857,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9
28,"Felices los 4",Maluma,1721542,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
29,"There for You","Martin Garrix",1704315,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
30,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",1639683,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
31,"Fetish (feat. Gucci Mane)","Selena Gomez",1634509,https://open.spotify.com/track/0XLOf9LhyazPX9Ld8jPiUq
32,Congratulations,"Post Malone",1633728,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
33,"Your Song","Rita Ora",1631085,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5
34,"Something Just Like This","The Chainsmokers",1605054,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
35,"Lonely Together (feat. Rita Ora)",Avicii,1583709,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab
