Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",7642879,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"Galway Girl","Ed Sheeran",4040281,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
3,"It Ain't Me (with Selena Gomez)",Kygo,3980692,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
4,"Something Just Like This","The Chainsmokers",3749812,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
5,"Castle on the Hill","Ed Sheeran",3347314,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
6,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",3246673,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
7,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3178280,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
8,Paris,"The Chainsmokers",3097527,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
9,"That's What I Like","Bruno Mars",2831200,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
10,"Stay (with Alessia Cara)",Zedd,2695501,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
11,"Scared to Be Lonely","Martin Garrix",2675332,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
12,Perfect,"Ed Sheeran",2606119,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
13,"Chained To The Rhythm","Katy Perry",2495756,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
14,Issues,"Julia Michaels",2448013,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
15,Happier,"Ed Sheeran",2436323,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
16,Dive,"Ed Sheeran",2188985,https://open.spotify.com/track/51ChrwmUPDJvedPQnIU8Ls
17,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",2126187,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
18,"I Feel It Coming","The Weeknd",2125561,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
19,Slide,"Calvin Harris",2124844,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
20,"Mask Off",Future,2107095,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
21,"New Man","Ed Sheeran",2078836,https://open.spotify.com/track/5HDPtsnyb3maFmPL8LLUTG
22,Cold,"Maroon 5",2060498,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
23,Believer,"Imagine Dragons",1982643,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
24,"Say You Won't Let Go","James Arthur",1958639,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
25,"What Do I Know?","Ed Sheeran",1944332,https://open.spotify.com/track/2pJZ1v8HezrAoZ0Fhzby92
26,"Call On Me - Ryan Riback Extended Remix",Starley,1924975,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
27,"iSpy (feat. Lil Yachty)",KYLE,1877735,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
28,"Green Light",Lorde,1870775,https://open.spotify.com/track/0gbBzIqrECJOEPvQJIBFs5
29,Closer,"The Chainsmokers",1850557,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
30,Starboy,"The Weeknd",1761143,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
31,"How Would You Feel (Paean)","Ed Sheeran",1669272,https://open.spotify.com/track/6PJ8FF6UR8FZXfEvpHkIVN
32,"Supermarket Flowers","Ed Sheeran",1660407,https://open.spotify.com/track/4VuS959DSpr82t3qBqCrWG
33,Barcelona,"Ed Sheeran",1650489,https://open.spotify.com/track/3Lfiu5sZ4M4B6JaKMBc0FU
34,"How Far I'll Go - From ""Moana""","Alessia Cara",1639708,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
35,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",1629711,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
36,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,1624445,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
37,Chantaje,Shakira,1545504,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
38,"Nancy Mulligan","Ed Sheeran",1528176,https://open.spotify.com/track/35QZaWQRkmnAVqBF1TLCxQ
39,"Solo Dance","Martin Jensen",1487203,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
40,"All Time Low","Jon Bellion",1457539,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
41,"Hearts Don't Break Around Here","Ed Sheeran",1453897,https://open.spotify.com/track/2dfHh7ECGxfNqZTQno09Vk
42,Eraser,"Ed Sheeran",1420426,https://open.spotify.com/track/7oolFzHipTMg2nL7shhdz2
43,"All Night","The Vamps",1416906,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
44,Weak,AJR,1401688,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
45,"El Amante","Nicky Jam",1399709,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
46,Congratulations,"Post Malone",1382479,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
47,"You Don't Know Me - Radio Edit","Jax Jones",1370983,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
48,"Just Hold On","Steve Aoki",1346939,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
49,"Bounce Back","Big Sean",1343232,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
50,"SUBEME LA RADIO","Enrique Iglesias",1323199,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
51,"Bibia Be Ye Ye","Ed Sheeran",1253311,https://open.spotify.com/track/6SznMYPQJHzr3IwsAHLId2
52,"Tunnel Vision","Kodak Black",1236769,https://open.spotify.com/track/4Q3N4Ct4zCuIHuZ65E3BD4
53,"Let Me Love You","DJ Snake",1224925,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
54,"Save Myself","Ed Sheeran",1192401,https://open.spotify.com/track/6TIU9Ehmi6dMzZK73Ym4yj
55,"Fake Love",Drake,1189825,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
56,"24K Magic","Bruno Mars",1147262,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
57,"Reggaetón Lento (Bailemos)",CNCO,1094732,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
58,"One Dance",Drake,1078796,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
59,"Don't Wanna Know","Maroon 5",1045351,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
60,"September Song","JP Cooper",1025431,https://open.spotify.com/track/0FuTx2s3YH1ppmtiM6l0zI
61,Selfish,Future,1011038,https://open.spotify.com/track/2Ce5IyMlVRVvN997ZJjJJA
62,T-Shirt,Migos,1004919,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
63,"Don't Leave",Snakehips,980911,https://open.spotify.com/track/0Zx8khUcEfCFK2AEoIhC92
64,"No Frauds","Nicki Minaj",960498,https://open.spotify.com/track/7KcGEssn7BnJdTgildK5y0
65,Location,Khalid,956114,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
66,"Me Rehúso","Danny Ocean",927275,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
67,"Otra Vez (feat. J Balvin)","Zion & Lennox",911131,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
68,"Bad Things (with Camila Cabello)","Machine Gun Kelly",907152,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
69,"Love On The Brain",Rihanna,896631,https://open.spotify.com/track/2aksifNn5ph8igDOkPBA02
70,"I Got You","Bebe Rexha",891078,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
71,Starving,"Hailee Steinfeld",891018,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
72,"Hear Me Now",Alok,884966,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
73,"In the Name of Love","Martin Garrix",872035,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
74,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",860932,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
75,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",851003,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
76,Swang,"Rae Sremmurd",835997,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL
77,"Sunset Lover","Petit Biscuit",833906,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1
78,"Water Under the Bridge",Adele,833553,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y
79,Touch,"Little Mix",812944,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z
80,"Body Like A Back Road","Sam Hunt",806999,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO
81,"Side To Side","Ariana Grande",806413,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
82,"Black Beatles","Rae Sremmurd",805484,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
83,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",800170,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
84,"La Rompe Corazones","Daddy Yankee",777648,https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3
85,Safari,"J Balvin",765127,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO
86,Chanel,"Frank Ocean",749140,https://open.spotify.com/track/6Nle9hKrkL1wQpwNfEkxjh
87,Photograph,"Ed Sheeran",748486,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
88,"Don't Let Me Down","The Chainsmokers",747037,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
89,"Shed a Light","Robin Schulz",744826,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY
90,Heathens,"Twenty One Pilots",735163,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
91,"My Way","Calvin Harris",730299,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
92,Caroline,Aminé,724986,https://open.spotify.com/track/5GFDrUTLGJix84sNhjCG0g
93,Mercy,"Shawn Mendes",721760,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
94,"Treat You Better","Shawn Mendes",720626,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd
95,Rolex,"Ayo & Teo",707296,https://open.spotify.com/track/0pSBuHjILhNEo55xK1zrRt
96,"It's Gotta Be You",Isaiah,704081,https://open.spotify.com/track/6cAKeFFYW2aClZSUyvqAEW
97,History,"Olivia Holt",701745,https://open.spotify.com/track/0WCEaydwN65cvwaW8aqptF
98,Human,"Rag'n'Bone Man",701007,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
99,Tuesday,"Burak Yeter",698358,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR
100,"Vente Pa' Ca","Ricky Martin",685073,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46
101,"Thinking Out Loud","Ed Sheeran",678525,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
102,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",675110,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65
103,Redbone,"Childish Gambino",674786,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
104,"Broccoli (feat. Lil Yachty)",DRAM,667265,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol
105,"Ay Mi Dios",IAmChino,654738,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY
106,"Party Monster","The Weeknd",650816,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt
107,"Me Llamas (feat. Maluma) - Remix","Piso 21",649950,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX
108,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",649093,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV
109,"Now and Later","Sage The Gemini",643996,https://open.spotify.com/track/43jBqV3j3Xi1g6wO0bhIMd
110,"Look At Me!",XXXTENTACION,642904,https://open.spotify.com/track/4ARPvK8DHLwt4oX65ZAFMw
