Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",6413787,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"Something Just Like This","The Chainsmokers",4671355,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
3,"It Ain't Me (with Selena Gomez)",Kygo,3964826,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
4,Passionfruit,Drake,3861025,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
5,HUMBLE.,"Kendrick Lamar",3650616,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
6,"Mask Off",Future,3575858,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
7,"That's What I Like","Bruno Mars",3487450,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
8,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",3347136,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
9,"Stay (with Alessia Cara)",Zedd,3308329,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
10,Paris,"The Chainsmokers",3300930,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
11,"Symphony (feat. Zara Larsson)","Clean Bandit",3059770,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
12,"Galway Girl","Ed Sheeran",2970017,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
13,Slide,"Calvin Harris",2650378,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
14,"Scared to Be Lonely","Martin Garrix",2515109,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
15,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",2447962,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
16,Issues,"Julia Michaels",2404413,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
17,"You Don't Know Me - Radio Edit","Jax Jones",2311608,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
18,"The One","The Chainsmokers",2299102,https://open.spotify.com/track/0wfbD5rAksdXUzRvMfM3x5
19,"Sign of the Times","Harry Styles",2276692,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN
20,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2165010,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
21,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",2091915,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
22,Cold,"Maroon 5",2057681,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
23,Believer,"Imagine Dragons",2014714,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
24,"iSpy (feat. Lil Yachty)",KYLE,1998960,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
25,"Castle on the Hill","Ed Sheeran",1879212,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
26,"Chained To The Rhythm","Katy Perry",1870866,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
27,"Call On Me - Ryan Riback Extended Remix",Starley,1814723,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
28,"XO TOUR Llif3","Lil Uzi Vert",1796158,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
29,"I Feel It Coming","The Weeknd",1792326,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
30,Portland,Drake,1791402,https://open.spotify.com/track/2bjwRfXMk4uRgOD9IBYl9h
31,"Solo Dance","Martin Jensen",1787102,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
32,Closer,"The Chainsmokers",1782345,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
33,"SUBEME LA RADIO","Enrique Iglesias",1775259,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
34,Starboy,"The Weeknd",1583330,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
35,"Me Rehúso","Danny Ocean",1537466,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
36,"Green Light",Lorde,1530239,https://open.spotify.com/track/0gbBzIqrECJOEPvQJIBFs5
37,Chantaje,Shakira,1525790,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
38,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",1523242,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
39,Location,Khalid,1515814,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
40,"El Amante","Nicky Jam",1510916,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
41,"Say You Won't Let Go","James Arthur",1500727,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
42,Congratulations,"Post Malone",1479621,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
43,Perfect,"Ed Sheeran",1478458,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
44,"Tunnel Vision","Kodak Black",1478154,https://open.spotify.com/track/4Q3N4Ct4zCuIHuZ65E3BD4
45,"Fake Love",Drake,1418974,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
46,Selfish,Future,1396898,https://open.spotify.com/track/2Ce5IyMlVRVvN997ZJjJJA
47,Weak,AJR,1349608,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
48,"How Far I'll Go - From ""Moana""","Alessia Cara",1347060,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
49,Blem,Drake,1338958,https://open.spotify.com/track/2XlHu0HcujBCkWMdIAvrqt
50,"Break Up Every Night","The Chainsmokers",1284722,https://open.spotify.com/track/6cPyTS0Kk2sc4xQwC93kOg
51,"Still Got Time",ZAYN,1260002,https://open.spotify.com/track/000xQL6tZNLJzIrtIgxqSl
52,Happier,"Ed Sheeran",1242972,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
