Position,"Track Name",Artist,Streams,URL
1,"Despacito - Remix","Luis Fonsi",4511203,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2,"Wild Thoughts","DJ Khaled",3571282,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
3,"Mi Gente","J Balvin",3413918,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
4,Unforgettable,"French Montana",3189228,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
5,"I'm the One","DJ Khaled",3083242,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
6,Feels,"Calvin Harris",2838486,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
7,"Shape of You","Ed Sheeran",2799119,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
8,Attention,"Charlie Puth",2637919,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
9,"Strip That Down","Liam Payne",2535327,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
10,"2U (feat. Justin Bieber)","David Guetta",2462655,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
11,Thunder,"Imagine Dragons",2385395,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
12,Mama,"Jonas Blue",2350675,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
13,"XO TOUR Llif3","Lil Uzi Vert",2164666,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
14,"There's Nothing Holdin' Me Back","Shawn Mendes",2143166,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
15,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",1944059,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
16,"Sorry Not Sorry","Demi Lovato",1931239,https://open.spotify.com/track/25C5CowdsfXld2jJanbiex
17,HUMBLE.,"Kendrick Lamar",1850823,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
18,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",1847983,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
19,"More Than You Know","Axwell /\ Ingrosso",1845580,https://open.spotify.com/track/4q8PHoRsPUB52LFylX8Ulz
20,"Felices los 4",Maluma,1799330,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
21,"Something Just Like This","The Chainsmokers",1798133,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
22,"In The End","Linkin Park",1747361,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
