Position,"Track Name",Artist,Streams,URL
1,"Despacito - Remix","Luis Fonsi",6257332,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2,"I'm the One","DJ Khaled",4961922,https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2
3,"Shape of You","Ed Sheeran",4588455,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
4,HUMBLE.,"Kendrick Lamar",3905939,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
5,"Something Just Like This","The Chainsmokers",3040136,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
6,"Mask Off",Future,2955912,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
7,"It Ain't Me (with Selena Gomez)",Kygo,2881045,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
8,"That's What I Like","Bruno Mars",2810674,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
9,"Stay (with Alessia Cara)",Zedd,2741163,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
10,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",2705118,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
11,"Symphony (feat. Zara Larsson)","Clean Bandit",2630636,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
12,Passionfruit,Drake,2549949,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
13,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",2523489,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
14,"There's Nothing Holdin' Me Back","Shawn Mendes",2357853,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
15,DNA.,"Kendrick Lamar",2104333,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
16,"Felices los 4",Maluma,2032489,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
17,"XO TOUR Llif3","Lil Uzi Vert",2007099,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
18,Slide,"Calvin Harris",2000659,https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk
19,"Galway Girl","Ed Sheeran",1992168,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
20,"Scared to Be Lonely","Martin Garrix",1966840,https://open.spotify.com/track/0KR2W3St74th8z3LS94Ffh
21,Issues,"Julia Michaels",1931968,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
22,"First Time",Kygo,1840895,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr
23,Unforgettable,"French Montana",1832025,https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW
24,Attention,"Charlie Puth",1814539,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
25,"iSpy (feat. Lil Yachty)",KYLE,1810120,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
26,"Sign of the Times","Harry Styles",1675858,https://open.spotify.com/track/5ELRkzdzz0HvGpMDlfZHkV
27,"SUBEME LA RADIO","Enrique Iglesias",1635838,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
