Position,"Track Name",Artist,Streams,URL
1,"God's Plan",Drake,6311657,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
2,Havana,"Camila Cabello",3134937,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
3,rockstar,"Post Malone",3087308,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
4,IDGAF,"Dua Lipa",2747053,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
5,"Finesse (Remix) [feat. Cardi B]","Bruno Mars",2669953,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
6,"Pray For Me (with Kendrick Lamar)","The Weeknd",2547208,https://open.spotify.com/track/6ZNo7Vi0TE9ul1fhKd4S1M
7,"River (feat. Ed Sheeran)",Eminem,2529118,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
8,"Échame La Culpa","Luis Fonsi",2316933,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
9,"Never Be the Same","Camila Cabello",2272717,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
10,"Let You Down",NF,2167386,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
11,"New Rules","Dua Lipa",2148818,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
12,Wolves,"Selena Gomez",2103865,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
13,"Him & I (with Halsey)",G-Eazy,2086698,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
14,Perfect,"Ed Sheeran",2080830,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
15,"All The Stars (with SZA)","Kendrick Lamar",2023160,https://open.spotify.com/track/12SJpYZEdj4kzWZ8FPFg4Y
16,Mine,Bazzi,1969582,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
17,"Stir Fry",Migos,1926815,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
18,"Sick Boy","The Chainsmokers",1904315,https://open.spotify.com/track/7jqDzXJS0K0Re8uphYNit0
19,"The Middle",Zedd,1892600,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
20,"I Fall Apart","Post Malone",1869100,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
21,"Say Something","Justin Timberlake",1802610,https://open.spotify.com/track/1LhMopPAallLeaeNutqbgS
22,Dura,"Daddy Yankee",1801559,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
23,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",1787241,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
24,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",1745829,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
25,"Shape of You","Ed Sheeran",1740964,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
26,"Rewrite The Stars","Zac Efron",1679645,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
27,Corazón,Maluma,1622891,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou
28,Bella,Wolfine,1597432,https://open.spotify.com/track/4R55IUi2x7S5ek2SpebOiE
29,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,1589078,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
30,"What Lovers Do (feat. SZA)","Maroon 5",1551841,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
31,Downtown,Anitta,1550970,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
32,"Too Good At Goodbyes","Sam Smith",1549015,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
33,"This Is Me","Keala Settle",1545628,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U
34,Silence,Marshmello,1537825,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
35,"I Miss You (feat. Julia Michaels)","Clean Bandit",1533450,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
36,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",1474981,https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l
37,Criminal,"Natti Natasha",1444757,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
38,Narcos,Migos,1396662,https://open.spotify.com/track/0wbnC9AUenxp613TYaJsGK
39,"Feel It Still","Portugal. The Man",1356033,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
40,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",1354885,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
41,"Dusk Till Dawn - Radio Edit",ZAYN,1341267,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
42,Thunder,"Imagine Dragons",1338214,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
43,"Bartier Cardi (feat. 21 Savage)","Cardi B",1321508,https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT
44,Sensualidad,"Bad Bunny",1317732,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw
45,"No Limit",G-Eazy,1301861,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW
