Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",7266474,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"It Ain't Me (with Selena Gomez)",Kygo,4321207,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,4213507,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
4,Paris,"The Chainsmokers",3731357,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
5,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",3515067,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
6,"Scared to Be Lonely","Martin Garrix",3194738,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
7,"Chained To The Rhythm","Katy Perry",2804540,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
8,"Castle on the Hill","Ed Sheeran",2729495,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
9,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",2612714,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
10,"I Feel It Coming","The Weeknd",2500123,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
11,Issues,"Julia Michaels",2451171,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
12,"Say You Won't Let Go","James Arthur",2393944,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
13,Starboy,"The Weeknd",2328023,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
14,"Call On Me - Ryan Riback Extended Remix",Starley,2243505,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
15,Closer,"The Chainsmokers",2232055,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
16,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,2060686,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
17,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",1935080,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
18,"That's What I Like","Bruno Mars",1928231,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
19,Believer,"Imagine Dragons",1913762,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
20,"How Far I'll Go - From ""Moana""","Alessia Cara",1864541,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
21,Chantaje,Shakira,1835350,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
22,"Just Hold On","Steve Aoki",1813955,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
23,"Bad Things (with Camila Cabello)","Machine Gun Kelly",1805433,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
24,"Don't Wanna Know","Maroon 5",1700187,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
25,Cold,"Maroon 5",1690590,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
26,Weak,AJR,1675947,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
27,"Solo Dance","Martin Jensen",1668178,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
28,"Fake Love",Drake,1617720,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
29,"Let Me Love You","DJ Snake",1608094,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
30,"All Time Low","Jon Bellion",1591860,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
31,"All Night","The Vamps",1585769,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
32,"Bounce Back","Big Sean",1563513,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
33,"24K Magic","Bruno Mars",1542462,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
34,"Hear Me Now",Alok,1505410,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
35,"iSpy (feat. Lil Yachty)",KYLE,1453562,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
36,"One Dance",Drake,1437512,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
37,"El Amante","Nicky Jam",1423767,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
38,"How Would You Feel (Paean)","Ed Sheeran",1400317,https://open.spotify.com/track/6PJ8FF6UR8FZXfEvpHkIVN
39,"Shed a Light","Robin Schulz",1342998,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY
40,"Don't Leave",Snakehips,1334144,https://open.spotify.com/track/0Zx8khUcEfCFK2AEoIhC92
41,"Reggaetón Lento (Bailemos)",CNCO,1325706,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
42,Congratulations,"Post Malone",1290786,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
43,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",1255962,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
44,"In the Name of Love","Martin Garrix",1236766,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
45,"Now and Later","Sage The Gemini",1221781,https://open.spotify.com/track/43jBqV3j3Xi1g6wO0bhIMd
46,Love,"Lana Del Rey",1191829,https://open.spotify.com/track/0n2bvWvMwr0gbjcuTm92eW
47,"Side To Side","Ariana Grande",1188092,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
48,T-Shirt,Migos,1147317,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
49,"I Would Like","Zara Larsson",1143290,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6
50,"My Way","Calvin Harris",1108876,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
51,"Black Beatles","Rae Sremmurd",1105258,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
52,Starving,"Hailee Steinfeld",1030853,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
53,"Sunset Lover","Petit Biscuit",1014978,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1
54,"You Don't Know Me - Radio Edit","Jax Jones",1011013,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
55,"Water Under the Bridge",Adele,986124,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y
56,"I Got You","Bebe Rexha",978771,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
57,"Otra Vez (feat. J Balvin)","Zion & Lennox",940726,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
58,Alone,"Alan Walker",925832,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p
59,Human,"Rag'n'Bone Man",896144,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
60,"Love Me Now","John Legend",880761,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89
61,Mercy,"Shawn Mendes",874974,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
62,"It's Gotta Be You",Isaiah,867884,https://open.spotify.com/track/6cAKeFFYW2aClZSUyvqAEW
63,Safari,"J Balvin",865900,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO
64,History,"Olivia Holt",858904,https://open.spotify.com/track/0WCEaydwN65cvwaW8aqptF
65,Caroline,Aminé,856519,https://open.spotify.com/track/5GFDrUTLGJix84sNhjCG0g
66,Photograph,"Ed Sheeran",837933,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
67,"Treat You Better","Shawn Mendes",837533,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd
68,"Body Like A Back Road","Sam Hunt",832295,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO
69,Heathens,"Twenty One Pilots",826455,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
