Position,"Track Name",Artist,Streams,URL
1,"God's Plan",Drake,7393443,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
2,Havana,"Camila Cabello",3806993,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
3,rockstar,"Post Malone",3570032,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
4,"River (feat. Ed Sheeran)",Eminem,2966972,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
5,"Finesse (Remix) [feat. Cardi B]","Bruno Mars",2687293,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
6,Wolves,"Selena Gomez",2683718,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
7,"Never Be the Same","Camila Cabello",2602846,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
8,"Diplomatic Immunity",Drake,2558352,https://open.spotify.com/track/5goGDc74vVREyN8al8CkPh
9,"Échame La Culpa","Luis Fonsi",2503895,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
10,"Him & I (with Halsey)",G-Eazy,2497353,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
11,"New Rules","Dua Lipa",2468500,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
12,IDGAF,"Dua Lipa",2438625,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
13,Perfect,"Ed Sheeran",2423887,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
14,"Let You Down",NF,2400685,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
15,"All The Stars (with SZA)","Kendrick Lamar",2113192,https://open.spotify.com/track/12SJpYZEdj4kzWZ8FPFg4Y
16,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",2029454,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
17,"Shape of You","Ed Sheeran",1969841,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
18,"I Fall Apart","Post Malone",1969618,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
19,"Rewrite The Stars","Zac Efron",1957949,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
20,"Sick Boy","The Chainsmokers",1903753,https://open.spotify.com/track/7jqDzXJS0K0Re8uphYNit0
21,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",1888630,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
22,"What Lovers Do (feat. SZA)","Maroon 5",1862193,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
23,"Too Good At Goodbyes","Sam Smith",1856400,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
24,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",1831309,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
25,Silence,Marshmello,1827513,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
26,"No Limit",G-Eazy,1778244,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW
27,"This Is Me","Keala Settle",1763961,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U
28,"I Miss You (feat. Julia Michaels)","Clean Bandit",1759584,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
29,Corazón,Maluma,1742563,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou
30,Downtown,Anitta,1718358,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
31,"Dusk Till Dawn - Radio Edit",ZAYN,1592346,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
