Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",7344569,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,4271266,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
3,Paris,"The Chainsmokers",3721861,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
4,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",3588146,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
5,"Castle on the Hill","Ed Sheeran",2899315,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
6,"Scared to Be Lonely","Martin Garrix",2880899,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
7,"Chained To The Rhythm","Katy Perry",2815763,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
8,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",2710124,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
9,Starboy,"The Weeknd",2593043,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
10,"Say You Won't Let Go","James Arthur",2506736,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
11,Closer,"The Chainsmokers",2456927,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
12,"I Feel It Coming","The Weeknd",2440660,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
13,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,2211277,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
14,"Call On Me - Ryan Riback Extended Remix",Starley,2171384,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
15,Issues,"Julia Michaels",2059951,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
16,"Don't Wanna Know","Maroon 5",1922619,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
17,Chantaje,Shakira,1907327,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
18,"Bad Things (with Camila Cabello)","Machine Gun Kelly",1892690,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
19,"How Far I'll Go - From ""Moana""","Alessia Cara",1836087,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
20,"Just Hold On","Steve Aoki",1831134,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
21,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",1779887,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
22,"Fake Love",Drake,1718075,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
23,"24K Magic","Bruno Mars",1690091,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
24,"Let Me Love You","DJ Snake",1660647,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
25,"Bounce Back","Big Sean",1591233,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
26,"All Night","The Vamps",1589272,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
27,"One Dance",Drake,1578874,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
28,"Solo Dance","Martin Jensen",1551797,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
29,Weak,AJR,1543151,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
30,"All Time Low","Jon Bellion",1504507,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
31,"Hear Me Now",Alok,1486911,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
32,"El Amante","Nicky Jam",1379236,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
33,"Reggaetón Lento (Bailemos)",CNCO,1329126,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
34,"Side To Side","Ariana Grande",1314617,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
35,"Shed a Light","Robin Schulz",1309629,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY
36,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",1302212,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
37,"iSpy (feat. Lil Yachty)",KYLE,1291666,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
38,"Now and Later","Sage The Gemini",1280474,https://open.spotify.com/track/43jBqV3j3Xi1g6wO0bhIMd
39,"In the Name of Love","Martin Garrix",1274754,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
40,"Don't Leave",Snakehips,1247414,https://open.spotify.com/track/0Zx8khUcEfCFK2AEoIhC92
41,"Black Beatles","Rae Sremmurd",1194234,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
42,"I Would Like","Zara Larsson",1191769,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6
43,Starving,"Hailee Steinfeld",1187515,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
44,"That's What I Like","Bruno Mars",1181792,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
45,T-Shirt,Migos,1150235,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
46,"My Way","Calvin Harris",1136216,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
