Position,"Track Name",Artist,Streams,URL
1,"Despacito - Remix","Luis Fonsi",6687684,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2,"I'm the One","DJ Khaled",4629107,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
3,"Wild Thoughts","DJ Khaled",4502170,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
4,"2U (feat. Justin Bieber)","David Guetta",3964830,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
5,"Shape of You","Ed Sheeran",3720844,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
6,Unforgettable,"French Montana",3208465,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
7,Thunder,"Imagine Dragons",3039866,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
8,Attention,"Charlie Puth",3035440,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
9,"Strip That Down","Liam Payne",2873522,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
10,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",2833917,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
11,"There's Nothing Holdin' Me Back","Shawn Mendes",2701544,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
12,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",2691380,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
13,HUMBLE.,"Kendrick Lamar",2687515,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
14,Mama,"Jonas Blue",2617396,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
15,"XO TOUR Llif3","Lil Uzi Vert",2520063,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
16,Believer,"Imagine Dragons",2451709,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
17,"Something Just Like This","The Chainsmokers",2405998,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
18,"There for You","Martin Garrix",2271753,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
19,"Stay (with Alessia Cara)",Zedd,2215306,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
